country,wine_servings
Albania,54
Andorra,312
Armenia,11
Austria,191
Azerbaijan,5
Belarus,42
Belgium,212
Bosnia-Herzegovina,8
Bulgaria,94
Croatia,254
Cyprus,113
Czech Republic,134
Denmark,278
Estonia,59
Finland,97
France,370
Georgia,149
Germany,175
Greece,218
Hungary,185
Iceland,78
Ireland,165
Italy,237
Latvia,62
Lithuania,56
Luxembourg,271
Malta,120
Monaco,0
Montenegro,128
Netherlands,190
Norway,129
Poland,56
Portugal,339
Moldova,18
Romania,167
San Marino,0
Serbia,127
Slovakia,116
Slovenia,276
Spain,112
Sweden,186
Switzerland,280
Macedonia,86
Ukraine,45
United Kingdom,195
