"CTY","CLRS","Shape.Reported","State","Time"
"Ithaca","","TRIANGLE","NY","6/1/1930 22:00"
"New York Worlds Fair","","LIGHT","NY","4/18/1933 19:00"
"New York City","","DISK","NY","1/8/1946 2:00"
"Syracuse","","DISK","NY","2/20/1947 22:15"
"Syracuse","","CIGAR","NY","7/14/1947 10:30"
"Saranac Lake","","DISK","NY","8/12/1947 22:00"
"New York City","","CIRCLE","NY","8/1/1948 2:00"
"New York City","","OVAL","NY","1/2/1950 0:00"
"Jackson Heights","","DISK","NY","6/30/1951 7:00"
"Binghamton","","DISK","NY","2/10/1952 21:00"
"New York City","","DISK","NY","6/30/1952 13:00"
"New York City","","OTHER","NY","7/15/1952 19:00"
"Ovid","","DISK","NY","6/1/1954 6:00"
"Oakdale","","DISK","NY","7/15/1954 21:00"
"Bridge Hampton","","LIGHT","NY","7/15/1954 22:00"
"Farmingdale","","OVAL","NY","8/1/1954 12:00"
"Geneva","","DISK","NY","9/1/1954 13:00"
"New York City","","LIGHT","NY","2/15/1955 19:00"
"Rhinebeck","","LIGHT","NY","10/15/1955 20:00"
"Richfield Springs","","CIGAR","NY","6/15/1956 18:00"
"New York City","","LIGHT","NY","6/15/1956 21:00"
"Rhinebeck","","DIAMOND","NY","5/25/1957 13:00"
"Glens Falls","","DISK","NY","6/1/1957 20:00"
"Hicksville","","CIRCLE","NY","6/6/1957 22:00"
"New York City","","TEARDROP","NY","6/30/1957 12:00"
"Barker","","DISK","NY","6/30/1957 20:00"
"Ticonderoga","","DISK","NY","8/14/1957 16:00"
"New York City","","","NY","10/15/1957 2:00"
"New York City","","OVAL","NY","6/1/1958 21:00"
"Yonkers","","LIGHT","NY","6/15/1958 15:00"
"Cheektowaga","","TEARDROP","NY","7/10/1958 9:00"
"New York City","","","NY","3/1/1959 23:00"
"New York City","","OVAL","NY","6/30/1959 20:00"
"Troy","","","NY","8/13/1959 21:00"
"Jewett","","LIGHT","NY","8/13/1959 22:30"
"New York City","","OTHER","NY","10/1/1959 16:00"
"Schenectady","","","NY","5/15/1960 0:00"
"Albertson","","","NY","6/30/1960 0:00"
"Belmont","","CIRCLE","NY","8/10/1960 1:00"
"Buffalo","","OVAL","NY","9/5/1960 21:00"
"Westbury","","DISK","NY","11/2/1960 18:00"
"New York City","","CROSS","NY","3/29/1961 0:00"
"no data","","TEARDROP","NY","6/1/1961 18:00"
"New York City","","DISK","NY","8/15/1961 19:00"
"Ossining","","","NY","6/25/1962 2:00"
"Bethpage","","TRIANGLE","NY","6/30/1962 18:00"
"Tannersville","","LIGHT","NY","7/10/1962 10:00"
"Rensselaer","","OTHER","NY","7/24/1962 12:00"
"New York City","","CIGAR","NY","12/21/1962 23:21"
"New York City","","OTHER","NY","5/15/1963 7:00"
"Newburgh","","OTHER","NY","6/15/1963 22:00"
"New York City","","OVAL","NY","7/1/1963 16:00"
"Hornell","","","NY","7/14/1963 21:30"
"Amsterdam","","DISK","NY","8/1/1963 2:00"
"Broadalbin","","LIGHT","NY","8/23/1963 22:00"
"New York City","","CIRCLE","NY","10/3/1963 21:00"
"New York City","","DISK","NY","6/5/1964 10:00"
"New York City","","DISK","NY","9/5/1964 21:00"
"Arcade","","DISK","NY","9/15/1964 20:00"
"Massapequa Park","","OVAL","NY","5/12/1965 21:00"
"Rochester","","SPHERE","NY","6/1/1965 21:00"
"West Corners","","OTHER","NY","6/15/1965 9:00"
"Brentwood","","","NY","6/30/1965 14:00"
"Blasdell","","OVAL","NY","6/30/1965 21:00"
"Otisville","","","NY","6/30/1965 22:00"
"Hains Falls","","LIGHT","NY","7/4/1965 20:00"
"Westbury","","EGG","NY","7/15/1965 15:00"
"Oneonta","","OVAL","NY","8/15/1965 20:45"
"New York City","","CYLINDER","NY","8/20/1965 20:30"
"New York City","","CYLINDER","NY","8/20/1965 20:30"
"New Rochelle","","SPHERE","NY","10/15/1965 15:00"
"Middletown","","SPHERE","NY","11/9/1965 18:00"
"Syosset","BLUE","DISK","NY","11/15/1965 16:30"
"New York City","RED","OVAL","NY","11/15/1965 21:00"
"Poughkeepsie","","TRIANGLE","NY","12/1/1965 17:00"
"Grand Island","","FIREBALL","NY","12/9/1965 0:00"
"Geneva","ORANGE","DISK","NY","4/14/1966 22:30"
"New Rochelle","","LIGHT","NY","6/1/1966 2:00"
"Pleasantville","","DISK","NY","6/1/1966 17:50"
"New York City","","CIRCLE","NY","6/30/1966 5:00"
"Cold Springs","","","NY","7/15/1966 22:00"
