"CTY" "CLRS" "Shape.Reported" "State" "Time"
"1" "Ithaca" "" "TRIANGLE" "NY" "6/1/1930 22:00"
"5" "New York Worlds Fair" "" "LIGHT" "NY" "4/18/1933 19:00"
"42" "New York City" "" "DISK" "NY" "1/8/1946 2:00"
"51" "Syracuse" "" "DISK" "NY" "2/20/1947 22:15"
"75" "Syracuse" "" "CIGAR" "NY" "7/14/1947 10:30"
"88" "Saranac Lake" "" "DISK" "NY" "8/12/1947 22:00"
"97" "New York City" "" "CIRCLE" "NY" "8/1/1948 2:00"
"120" "New York City" "" "OVAL" "NY" "1/2/1950 0:00"
"159" "Jackson Heights" "" "DISK" "NY" "6/30/1951 7:00"
"172" "Binghamton" "" "DISK" "NY" "2/10/1952 21:00"
"193" "New York City" "" "DISK" "NY" "6/30/1952 13:00"
"209" "New York City" "" "OTHER" "NY" "7/15/1952 19:00"
"269" "Ovid" "" "DISK" "NY" "6/1/1954 6:00"
"297" "Oakdale" "" "DISK" "NY" "7/15/1954 21:00"
"298" "Bridge Hampton" "" "LIGHT" "NY" "7/15/1954 22:00"
"299" "Farmingdale" "" "OVAL" "NY" "8/1/1954 12:00"
"304" "Geneva" "" "DISK" "NY" "9/1/1954 13:00"
"314" "New York City" "" "LIGHT" "NY" "2/15/1955 19:00"
"346" "Rhinebeck" "" "LIGHT" "NY" "10/15/1955 20:00"
"363" "Richfield Springs" "" "CIGAR" "NY" "6/15/1956 18:00"
"368" "New York City" "" "LIGHT" "NY" "6/15/1956 21:00"
"399" "Rhinebeck" "" "DIAMOND" "NY" "5/25/1957 13:00"
"403" "Glens Falls" "" "DISK" "NY" "6/1/1957 20:00"
"405" "Hicksville" "" "CIRCLE" "NY" "6/6/1957 22:00"
"417" "New York City" "" "TEARDROP" "NY" "6/30/1957 12:00"
"420" "Barker" "" "DISK" "NY" "6/30/1957 20:00"
"441" "Ticonderoga" "" "DISK" "NY" "8/14/1957 16:00"
"463" "New York City" "" "" "NY" "10/15/1957 2:00"
"481" "New York City" "" "OVAL" "NY" "6/1/1958 21:00"
"489" "Yonkers" "" "LIGHT" "NY" "6/15/1958 15:00"
"503" "Cheektowaga" "" "TEARDROP" "NY" "7/10/1958 9:00"
"525" "New York City" "" "" "NY" "3/1/1959 23:00"
"547" "New York City" "" "OVAL" "NY" "6/30/1959 20:00"
"561" "Troy" "" "" "NY" "8/13/1959 21:00"
"562" "Jewett" "" "LIGHT" "NY" "8/13/1959 22:30"
"569" "New York City" "" "OTHER" "NY" "10/1/1959 16:00"
"588" "Schenectady" "" "" "NY" "5/15/1960 0:00"
"611" "Albertson" "" "" "NY" "6/30/1960 0:00"
"630" "Belmont" "" "CIRCLE" "NY" "8/10/1960 1:00"
"638" "Buffalo" "" "OVAL" "NY" "9/5/1960 21:00"
